Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L4,MWN 2005,Mus musculus,female,a,129+,44+,18,12,13,PAR,,,,WSB,DNM,
L4,MWN 2006,Mus musculus,female,a,140+,43+,17,13,32,"2R 4L, 13 mm",,,,,DNM,
L4,MWN 2007,Mus musculus,female,a,132+,56+,17,12,13,PAR,,,,WSB,DNM,
L4,MWN 2008,Mus musculus,female,a,141+,44+,17,13,21,PAR,,,,,DNM,
L4,MWN 2009,Mus musculus,female,a,150+,64+,18,11,18,PAR,,,,WSB,DNM,
L4,MWN 2010,Mus musculus,female,a,146+,62+,17,13,16,NULL,,,,,MWN,
L4,MWN 2011,Mus musculus,male,a,140+,59+,16,12,15,,38,1,,No sperm visible; milky white SV,DNM,
L4,MWN 2012,Mus musculus,female,a,150+,62+,18,13,19,NULL,,,,,MWN,
L4,MWN 2013,Mus musculus,male,a,122+,38+,17,12,16,,61,69,,,DNM,
L4,MWN 2014,Mus musculus,female,a,128+,50+,17,12,15,"1R 4L, 2 mm",,,,,MWN,
L4,MWN 2015,Mus musculus,male,a,110+,25+,16,12,17,,60,39,,swollen right ankle; WSB; right testicle was significantly smaller (11 mg),DNM,
L4,MWN 2016,Mus musculus,female,a,130+,50+,17,12,14,NULL,,,,,MWN,
L4,MWN 2017,Mus musculus,male,a,124+,39+,18,13,21,,87,48,,,MWN,
L4,MWN 2018,Mus musculus,female,a,120+,38+,18,13,19,PAR,,,,,MWN,
L4,MWN 2019,Mus musculus,male,a,138+,56+,17,13,17,,51,9,,light belly,MWN,
L6,MWN 2019,Mus musculus,male,a,121+,46+,17,12,16,,61,39,++,,MWN,
L4,MWN 2020,Mus musculus,female,a,126+,44+,17,13,17,"4R 1L, 1 mm",,,,,MWN,
L4,MWN 2021,Mus musculus,male,a,129+,45+,17,12,19,,77,40,,,MWN,
L4,MWN 2022,Mus musculus,female,a,150+,62+,18,13,23,"5R 2L, 1 mm",,,,,MWN,
L4,MWN 2023,Mus musculus,male,a,108+,31+,16,12,14,,48,11,,,MWN,
L5,MWN 2024,Mus musculus,female,a,155+,58+,17,13,30,"3R 3L, 11 mm",,,,,MWN,
L4,MWN 2025,Mus musculus,male,a,130+,44+,17,13,19,,53,62,+,,MWN,
L5,MWN 2026,Mus musculus,female,a,136+,44+,18,13,29,"3R 2L, 20 mm",,,,,MWN,
